TAK;TAK;75
TAK;NIE;34
NIE;TAK;50
NIE;TAK;23
NIE;TAK;54
NIE;TAK;63
NIE;TAK;75
NIE;TAK;54
NIE;TAK;23
NIE;TAK;34
NIE;NIE;77
NIE;TAK;54
TAK;TAK;44
TAK;TAK;88
TAK;TAK;53
TAK;TAK;76
TAK;TAK;32
TAK;TAK;64
TAK;TAK;53
TAK;TAK;98
TAK;TAK;11
TAK;TAK;32
TAK;NIE;12
TAK;NIE;66
TAK;NIE;45
TAK;NIE;44
TAK;NIE;75
TAK;NIE;23
TAK;NIE;22
TAK;NIE;54
TAK;NIE;35
TAK;NIE;35
TAK;NIE;35
TAK;TAK;35
TAK;TAK;35
TAK;TAK;35
TAK;TAK;43
NIE;TAK;43
NIE;NIE;43
NIE;NIE;43
NIE;NIE;43
NIE;NIE;43
NIE;TAK;56
NIE;TAK;56
NIE;TAK;56
NIE;TAK;56
NIE;TAK;56
NIE;TAK;56
NIE;TAK;56
NIE;TAK;70
NIE;TAK;70
NIE;TAK;70
NIE;TAK;70
TAK;TAK;70
TAK;TAK;70
TAK;TAK;70
TAK;TAK;70
TAK;NIE;70
TAK;NIE;70
TAK;NIE;70
