Kraków;Kwiatowa;23
Kraków;Kwiatowa;1
Kraków;Kwiatowa;42
Kraków;Kwiatowa;79
Kraków;Kwiatowa;4
Kraków;Ma³a;2
Kraków;Ma³a;5
Kraków;Ma³a;7
Poznañ;Paragwajska;76
Poznañ;Paragwajska;44
Poznañ;Paragwajska;54
Poznañ;Paragwajska;23
Poznañ;Paragwajska;11
Poznañ;Paragwajska;6
Poznañ;Wszystkich Œwiêtych;22
Poznañ;Wszystkich Œwiêtych;1
Poznañ;Wszystkich Œwiêtych;2
Poznañ;Wszystkich Œwiêtych;6
Poznañ;S³oneczna;5
Poznañ;S³oneczna;8
Poznañ;S³oneczna;1
Gdynia;Jerozolimska;456
Gdynia;Jerozolimska;12
Gdynia;Jerozolimska;43
Gdynia;Jerozolimska;65
Gdynia;Jerozolimska;42
Gdynia;Papieska;12
Gdynia;Papieska;53
Gdynia;Papieska;87
Gdynia;Papieska;54
Warszawa;Bia³a;1
Warszawa;Bia³a;2
Warszawa;Bia³a;3
Warszawa;Bia³a;4
Warszawa;Bia³a;5
Warszawa;Bia³a;6
Warszawa;Bia³a;77
Warszawa;Bia³a;42
Warszawa;Bia³a;48
Warszawa;Bia³a;23
Warszawa;Bia³a;12
Warszawa;Bia³a;41
Warszawa;Bia³a;21
Warszawa;Bia³a;53
Warszawa;Bia³a;32
Warszawa;Bia³a;89
Warszawa;Bia³a;97
Warszawa;Powstañców;1
Warszawa;Powstañców;2
Warszawa;Powstañców;3
Warszawa;Powstañców;5
Warszawa;Powstañców;6
Warszawa;Powstañców;7
Warszawa;Powstañców;9
Warszawa;Powstañców;23
Warszawa;Powstañców;12
Warszawa;Powstañców;65
Warszawa;Powstañców;43
Warszawa;Powstañców;32
Warszawa;Powstañców;92
